Beam center : 0 0 2 mm
Beam power  : 10 W
Beam waist  : 0.3 mm (radius at the intensity of 1/e^2)
RayleighLength : 1157.94 mm (M^2==1)
Peak intensity : 70.7355 W/mm^2
Time duration : -1.79769e+308 - 1.79769e+308 s
Detuning : 0 [rad/s] (0 [Hz])
Beam center : 0 0 3 mm
Beam center timing : 2e-06 s
Beam energy  : 0.1 J
Beam waist  : 2 mm (radius at the intensity of 1/e^2)
Beam duration : 2e-09 s (FWHM), 8.49322e-10 s (sigma)
RayleighLength : 35398.2 mm (M^2==1)
Peak power : 4.69719e+07 W
Peak intensity at the waist : 7.4758e+06 W/mm^2
Rho 0.413144 -1.68906e-18 6.32635e-18 7.91765e-35 3.5702e-35
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.574097 -1.27917e-144 3.23595e-145 3.03253e-288 1.36576e-307
Rho 0.623355 4.47671e-47 8.1541e-47 1.38811e-92 1.14577e-100
Rho 0.420383 9.67332e-128 7.34851e-127 1.33013e-252 1.13479e-266
Rho 0.781048 5.7906e-109 4.08525e-108 2.17887e-215 4.19689e-219
Rho 0.64489 1.006e-33 2.00806e-32 8.5958e-64 9.14278e-96
Rho 0.429604 4.69965e-41 2.62242e-40 1.51869e-79 1.00838e-118
Rho 0.800618 0 0 0 0
Rho 1 0 0 0 0
Rho 0.519151 0 0 0 0
Rho 0.576426 -1.17056e-66 1.85201e-66 8.02376e-132 1.8953e-165
Rho 0.47953 3.66833e-15 -1.38624e-15 4.95679e-31 -4.79839e-31
Rho 0.732932 0 0 0 0
Rho 0.726213 0 0 0 0
Rho 0.433566 0 0 0 0
Rho 0.571286 1.03171e-15 2.40816e-15 1.20147e-29 8.37436e-41
Rho 0.433843 4.14062e-15 -1.93019e-15 4.81102e-29 5.70239e-43
Rho 0.574738 1.17174e-178 1.13493e-177 0 0
Rho 0.412925 0 0 0 0
Rho 0.420315 0 0 0 0
Rho 0.819939 0 0 0 0
Rho 0.468583 0 0 0 0
Rho 0.536586 0 0 0 0
Rho 0.776001 3.4147e-11 5.78589e-11 5.81659e-21 4.87318e-19
Rho 0.818635 0 0 0 0
Rho 0.4856 0 0 0 0
Rho 1 0 0 0 0
Rho 0.421056 0 0 0 0
Rho 0.634404 4.04747e-131 1.31075e-130 2.96751e-260 2.9425e-266
Rho 0.879855 1.36151e-40 9.49809e-39 1.2137e-76 7.57845e-115
Rho 1 0 0 0 0
Rho 0.61376 7.96454e-14 9.04097e-14 2.36506e-26 2.11451e-22
Rho 0.423473 0 0 0 0
Rho 0.415775 0 0 0 0
Rho 0.728275 0 0 0 0
Rho 1 0 0 0 0
Rho 0.57934 9.24083e-35 -4.71449e-35 1.85762e-68 4.14681e-71
Rho 0.70922 7.96611e-164 -2.0398e-162 0 0
Rho 0.95802 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.598291 9.03706e-48 2.4554e-45 1.10022e-89 1.77774e-98
Rho 1 0 0 0 0
Rho 0.488682 2.32238e-34 6.62383e-36 1.10457e-67 6.13841e-73
Rho 0.494004 0 0 0 0
Rho 1 0 0 0 0
